Name of Restaurants,City,Country Code,Day of Week,Start time(hour),Start time(mins),End time(hour),End time(mins)
580 Bench,Melbourne,AU,1,7,0,16,0
,,,,,,,
580 Bench,Melbourne,AU,2,7,0,16,0
,,,,,,,
580 Bench,Melbourne,AU,3,7,0,16,0
,,,,,,,
580 Bench,Melbourne,AU,4,7,0,16,0
,,,,,,,
62 Rokujuni,Sydney,AU,0,11,0,15,0
,,,,,,,
62 Rokujuni,Sydney,AU,0,18,0,21,0
,,,,,,,
62 Rokujuni,Sydney,AU,1,11,0,15,0
,,,,,,,
62 Rokujuni,Sydney,AU,1,18,0,21,0
,,,,,,,
62 Rokujuni,Sydney,AU,2,11,0,15,0
,,,,,,,
62 Rokujuni,Sydney,AU,2,18,0,21,0
,,,,,,,
62 Rokujuni,Sydney,AU,3,11,0,15,0
,,,,,,,
62 Rokujuni,Sydney,AU,3,18,0,21,0
,,,,,,,
62 Rokujuni,Sydney,AU,4,11,0,15,0
,,,,,,,
62 Rokujuni,Sydney,AU,4,18,0,21,0
,,,,,,,
678 Korean Bbq,Sydney,AU,0,11,0,0,0
,,,,,,,
678 Korean Bbq,Sydney,AU,1,11,0,0,0
,,,,,,,
678 Korean Bbq,Sydney,AU,2,11,0,0,0
,,,,,,,
678 Korean Bbq,Sydney,AU,3,11,0,0,0
,,,,,,,
678 Korean Bbq,Sydney,AU,4,11,0,0,0
,,,,,,,
678 Korean Bbq,Sydney,AU,5,11,0,0,0
,,,,,,,
678 Korean Bbq,Sydney,AU,6,11,0,0,0
,,,,,,,
7th & Bake Patisserie Cafe,Canberra,AU,0,6,30,16,0
,,,,,,,
7th & Bake Patisserie Cafe,Canberra,AU,1,6,30,16,0
,,,,,,,
7th & Bake Patisserie Cafe,Canberra,AU,2,6,30,16,0
,,,,,,,
7th & Bake Patisserie Cafe,Canberra,AU,3,6,30,16,0
,,,,,,,
7th & Bake Patisserie Cafe,Canberra,AU,4,6,30,16,0
,,,,,,,
7th & Bake Patisserie Cafe,Canberra,AU,5,7,30,17,0
,,,,,,,
7th & Bake Patisserie Cafe,Canberra,AU,6,7,30,17,0
,,,,,,,
8Bit,Melbourne,AU,0,11,0,23,0
,,,,,,,
8Bit,Melbourne,AU,1,11,0,23,0
,,,,,,,
8Bit,Melbourne,AU,2,11,0,23,0
,,,,,,,
8Bit,Melbourne,AU,3,11,0,23,0
,,,,,,,
8Bit,Melbourne,AU,4,11,0,23,0
,,,,,,,
